CODI_SAD;ANY;GEN_DIARI;FEB_DIARI;MAR_DIARI;ABR_DIARI;MAI_DIARI;JUN_DIARI;JUL_DIARI;AGO_DIARI;SET_DIARI;OCT_DIARI;NOV_DIARI;DES_DIARI
AFLUENT_MAJOR_TER;2020;13,53206881;;;;;;;;;;;
AFLUENT_MAJOR_TER;2021;;;;;;;;;;;;
AFLUENT_MAJOR_TER;2022;;;;;0,170089071;0,056626365;0,01857675;0,103005522;0,12072962;0,061402985;0,073691271;0,089655187
AFLUENT_MAJOR_TER;2023;0,081250391;0,121289294;0,121394792;0,129752568;0,32394745;0,538060737;0,058389273;0,025492837;0,047489179;0,029006859;0,058881226;0,111115459
AFLUENT_MAJOR_TER;2024;0,118066293;0,12235556;0,270877015;0,218718401;0,209434438;0,210742615;0,041222869;0,111351923;0,061828443;0,144107264;0,288420758;0,218734373
AFLUENT_MAJOR_TER;2025;0,164875713;0,188732849;2,59984786;0,378613165;0,580106848;0,143834218;0,154036351;;;;;
AFLUENT_ONYAR;2007;0,10445;0,365107143;0,202402073;1,747363333;0,348325806;0,158873333;0,037307168;0,112883142;0,046713793;0,094358065;0,079886207;0,083451613
AFLUENT_ONYAR;2008;0,116856667;0,154141379;0,249716129;0,258686667;0,470112903;1,240903056;0,121545161;0,040360608;0,031728241;0,049635791;0,253571241;1,198453181
AFLUENT_ONYAR;2009;0,462765457;1,95874628;0,309983199;0,808706018;0,554975924;0,202042824;0,097559364;0,055656354;0,0816875;0,140170618;0,137787474;0,122641129
AFLUENT_ONYAR;2010;0,154243952;1,195841422;2,989947533;0,647279375;2,7553667;0,371793056;0,091128136;0,146694579;0,823897665;2,790944445;0,276295718;0,268531698
AFLUENT_ONYAR;2011;0,413618168;0,476230338;4,427741787;0,725567085;0,494210031;0,195225463;0,288798835;0,006160506;0,003018998;0,6879086;11,71789915;0,542140078
AFLUENT_ONYAR;2012;0,325906413;0,307994195;0,690175153;0,83626391;0,536861082;0,365852252;0,170999615;0,075714994;0,167279891;0,756022542;0,7665474;0,386342864
AFLUENT_ONYAR;2013;0,297419355;0,280571429;2,911290323;1,229666667;0,776645161;0,543333333;0,286096774;0,179009633;0,096166667;0,063387097;0,623;0,188064516
AFLUENT_ONYAR;2014;0,180322581;0,31;0,242903226;0,359666667;0,326129032;0,205333333;0,232580645;0,242258065;4,908333333;0,649709677;1,597166667;4,237096774
AFLUENT_ONYAR;2015;0,447096774;0,422142857;0,492903226;0,444333333;0,419354839;0,401;0,385483871;0,426774194;0,419666667;0,421290323;0,410666667;0,404516129
AFLUENT_ONYAR;2016;0,25;0,147931034;0,238709677;0,4336;0,334322581;0,2303;0,145870968;0,126451613;0,1383;0,646451277;0,259579745;0,242383065
AFLUENT_ONYAR;2017;2,25799552;1,195079677;0,897661738;0,410346397;0,169616283;0,142532294;0,116820117;0,067602151;0,083168287;0,075952509;0,036126042;0,061350918
AFLUENT_ONYAR;2018;0,125840166;0,232816592;0,16109767;0,910559607;0,433420363;0,14880868;0,221126054;0,329959117;0,096820255;1,400693276;16,43033193;0,620686323
